,Unnamed: 0,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Season,Alive
1062,1062,14,1,4,0.06,1,2017,5,1,1,1,3,14.0,21.135,0.64,6.32,10.11,7,24.5,0.0,1,2,0
1063,1063,14,3,2,0.053,1,2017,5,1,1,2,3,3.0,0.0,3.11,24.41,14.53,7,24.5,0.0,1,1,0
1064,1064,14,5,2,0.087,2,2016,6,0,2,2,1,10.0,24.14,5.08,19.0,22.04,7,24.5,0.0,1,1,0
1065,1065,7,4,3,0.08,2,2017,2,0,3,2,2,18.22,6.04,2.6,25.01,11.7,17,59.5,1.0,0,1,0
1066,1066,14,5,2,0.087,2,2016,4,0,2,2,2,50.0,36.0,5.0,18.95,22.62,7,24.5,0.0,1,1,0
1067,1067,14,2,3,0.074,1,2017,6,0,2,2,1,27.0,87.1,4.08,28.07,15.11,7,24.5,0.0,1,1,0
1068,1068,14,2,2,0.074,1,2017,7,0,3,2,2,25.0,51.11,4.57,19.72,20.19,7,24.5,0.0,1,1,0
1069,1069,14,4,1,0.059,1,2016,6,0,3,1,1,5.0,39.555,-0.09,14.59,12.11,7,24.5,0.0,1,2,0
1070,1070,14,2,3,0.074,1,2017,1,0,2,2,1,53.0,28.0,2.75,18.5,12.84,7,24.5,0.0,1,2,0
1071,1071,14,5,3,0.087,2,2017,2,0,3,2,2,13.0,50.0,3.48,25.63,14.41,7,24.5,0.0,1,1,0
1072,1072,14,4,1,0.059,1,2017,1,0,2,1,1,31.0,44.0,-0.64,9.02,8.47,7,24.5,0.0,1,2,0
1073,1073,14,2,4,0.074,1,2017,3,0,2,1,1,21.81,38.0,0.31,5.07,6.89,7,24.5,1.0,0,2,0
1074,1074,14,2,2,0.074,1,2017,3,0,2,2,1,7.0,32.0,4.59,23.83,16.21,7,24.5,0.0,1,1,0
1075,1075,7,4,1,0.08,2,2017,5,1,1,1,3,11.42,29.93,-0.02,12.44,12.54,19,66.5,1.0,0,1,0
1076,1076,14,2,1,0.074,1,2017,2,0,2,1,2,11.89,27.86,-0.03,10.5,11.01,7,24.5,1.0,0,2,0
1077,1077,8,1,3,0.061,1,2016,4,0,2,2,2,16.43,25.79,3.78,20.75,18.17,33,115.5,0.0,0,1,1
1078,1078,8,1,3,0.061,1,2017,1,0,2,2,1,17.5,18.94,2.48,24.52,12.11,33,115.5,0.0,0,1,1
1079,1079,14,4,3,0.059,1,2017,2,0,3,2,2,10.0,29.17,2.23,28.3,9.23,7,24.5,0.0,1,2,0
1080,1080,14,4,1,0.059,1,2017,6,0,3,1,1,15.39,16.425,-0.09,10.0,10.68,7,24.5,1.0,0,2,0
1081,1081,8,1,2,0.061,1,2017,5,1,1,2,3,11.8,3.68,2.47,19.28,18.53,23,80.5,1.0,0,1,0
1082,1082,8,3,3,0.061,1,2017,2,0,3,2,2,17.52,17.59,2.38,26.06,11.19,33,115.5,0.0,0,1,1
1083,1083,14,4,4,0.059,1,2017,2,0,2,1,2,26.42,24.01,0.63,5.56,10.18,7,24.5,1.0,0,2,0
1084,1084,14,4,2,0.059,1,2016,4,0,2,2,2,9.0,30.43,4.77,18.74,24.77,7,24.5,0.0,1,1,0
1085,1085,14,2,1,0.074,1,2017,1,0,2,1,1,0.0,20.77,-1.02,13.39,12.32,7,24.5,0.0,1,2,0
1086,1086,14,4,3,0.059,1,2016,4,0,2,2,2,24.0,11.11,3.97,24.11,16.05,7,24.5,0.0,1,1,0
1087,1087,8,1,3,0.061,1,2016,6,0,2,2,1,29.94,33.73,3.92,27.32,15.07,19,66.5,1.0,0,1,0
